﻿"durak","islem","koltuk","kisi","nereden","nereye","cinsiyet","odeme","tutar","zaman"
"Esenler Otogar","bindi","1","","Esenler Otogar","Ahmetli","bay","nakit","","2026-04-30 00:11:40"
"Esenler Otogar","bindi","3","","Esenler Otogar","Bursa Otogar","bayan","nakit","","2026-04-30 00:11:47"
"Esenler Otogar","bindi","4","","Esenler Otogar","Manisa Otogar","bay","nakit","","2026-04-30 00:11:58"
"Ahmetli","indi","1","","Esenler Otogar","Ahmetli","bay","nakit","","2026-04-30 09:07:09"
"Bursa Otogar","indi","3","","Esenler Otogar","Bursa Otogar","bayan","nakit","","2026-04-30 09:07:09"
"Manisa Otogar","indi","4","","Esenler Otogar","Manisa Otogar","bay","nakit","","2026-04-30 09:07:09"
