﻿"durak","islem","koltuk","kisi","nereden","nereye","cinsiyet","odeme","tutar","zaman"
"Denizli","bindi","1","","Denizli","Esenler Otogar","bay","nakit","","2026-04-29 20:06:08"
"Esenler Otogar","indi","1","","Denizli","Esenler Otogar","bay","nakit","","2026-04-29 20:08:00"
