﻿"durak","islem","koltuk","kisi","nereden","nereye","cinsiyet","odeme","tutar","zaman"
"Esenler Otogar","bindi","3","","Esenler Otogar","Manisa Otogar","bay","nakit","","2026-05-01 00:10:43"
"Esenler Otogar","bindi","4","","Esenler Otogar","Denizli","bay","nakit","","2026-05-01 00:10:51"
"Esenler Otogar","bindi","7","","Esenler Otogar","Akhisar Garaj","bayan","nakit","","2026-05-01 00:11:09"
"Esenler Otogar","bindi","8","","Esenler Otogar","Akhisar Garaj","bayan","nakit","","2026-05-01 00:11:20"
"Esenler Otogar","bindi","5","","Esenler Otogar","Manisa Otogar","bay","nakit","","2026-05-01 00:11:34"
"Esenler Otogar","bindi","11","","Esenler Otogar","Kavaklıdere","bay","nakit","","2026-05-01 00:11:50"
"Esenler Otogar","bindi","12","","Esenler Otogar","Kavaklıdere","bayan","nakit","","2026-05-01 00:12:06"
"Esenler Otogar","bindi","9","","Esenler Otogar","Manisa Otogar","bay","nakit","","2026-05-01 00:12:23"
"Esenler Otogar","bindi","15","","Esenler Otogar","Manisa Otogar","bay","nakit","","2026-05-01 00:12:37"
"Esenler Otogar","bindi","16","","Esenler Otogar","Manisa Otogar","bay","nakit","","2026-05-01 00:12:45"
"Esenler Otogar","bindi","19","","Esenler Otogar","Manisa Otogar","bayan","nakit","","2026-05-01 00:12:58"
"Esenler Otogar","bindi","20","","Esenler Otogar","Manisa Otogar","bayan","nakit","","2026-05-01 00:13:06"
"Esenler Otogar","bindi","17","","Esenler Otogar","Alaşehir OTOGAR","bayan","nakit","","2026-05-01 00:13:20"
"Esenler Otogar","bindi","17","","Esenler Otogar","Alaşehir STADYUM","bayan","nakit","","2026-05-01 00:13:30"
"Esenler Otogar","bindi","24","","Esenler Otogar","Salihli","bayan","nakit","","2026-05-01 00:13:42"
"Esenler Otogar","bindi","25","","Esenler Otogar","Turgutlu Garaj","bay","nakit","","2026-05-01 00:13:58"
"Esenler Otogar","bindi","27","","Esenler Otogar","Mustafa Kemal paşa","bay","nakit","","2026-05-01 00:14:08"
"Esenler Otogar","bindi","28","","Esenler Otogar","Akhisar Garaj","bay","nakit","","2026-05-01 00:14:24"
"Esenler Otogar","bindi","33","","Esenler Otogar","Özdilek AVM","bay","nakit","","2026-05-01 00:14:47"
"Esenler Otogar","bindi","34","","Esenler Otogar","Özdilek AVM","bayan","nakit","","2026-05-01 00:14:57"
"Esenler Otogar","bindi","31","","Esenler Otogar","Balıkesir Otogar","bay","nakit","","2026-05-01 00:15:11"
"Esenler Otogar","bindi","41","","Esenler Otogar","Akhisar Garaj","bay","nakit","","2026-05-01 00:15:29"
"Esenler Otogar","bindi","42","","Esenler Otogar","Akhisar Garaj","bay","nakit","","2026-05-01 00:15:37"
"Esenler Otogar","bindi","39","","Esenler Otogar","Turgutlu Garaj","bay","nakit","","2026-05-01 00:15:51"
"Esenler Otogar","bindi","49","","Esenler Otogar","Turgutlu Garaj","bayan","nakit","","2026-05-01 00:16:15"
"Esenler Otogar","bindi","50","","Esenler Otogar","Manisa Otogar","bay","nakit","","2026-05-01 00:16:28"
"Esenler Otogar","bindi","51","","Esenler Otogar","Sarayköy","bay","nakit","","2026-05-01 00:16:41"
"Esenler Otogar","bindi","52","","Esenler Otogar","Denizli","bay","nakit","","2026-05-01 00:16:52"
"Esenler Otogar","bindi","53","","Esenler Otogar","Denizli","bayan","nakit","","2026-05-01 00:17:02"
"Esenler Otogar","bindi","54","","Esenler Otogar","Denizli","bay","nakit","","2026-05-01 00:17:12"
"Esenler Otogar","bindi","33","","Esenler Otogar","Turgutlu Garaj","bay","nakit","","2026-05-01 00:18:28"
"Esenler Otogar","bindi","34","","Esenler Otogar","Turgutlu Garaj","bayan","nakit","","2026-05-01 00:18:36"
"Alibeyköy","bindi","1","","Alibeyköy","Sarıgöl","bayan","nakit","","2026-05-01 00:33:10"
"Alibeyköy","bindi","13","","Alibeyköy","Turgutlu Garaj","bayan","nakit","","2026-05-01 00:35:37"
"Alibeyköy","bindi","21","","Alibeyköy","Sarıgöl","bay","nakit","","2026-05-01 00:35:52"
"Alibeyköy","bindi","23","","Alibeyköy","Salihli","bayan","nakit","","2026-05-01 00:36:11"
"Alibeyköy","bindi","29","","Alibeyköy","Turgutlu Garaj","bay","nakit","","2026-05-01 00:36:30"
"Alibeyköy","bindi","45","","Alibeyköy","Balıkesir Otogar","bay","nakit","","2026-05-01 00:38:11"
"Alibeyköy","bindi","46","","Alibeyköy","Balıkesir Otogar","bayan","nakit","","2026-05-01 00:38:24"
"Gebze Garaj","bindi","35","","Gebze Garaj","Salihli","bay","nakit","","2026-05-01 02:05:52"
"Gebze Garaj","bindi","37","","Gebze Garaj","Turgutlu Garaj","bay","nakit","","2026-05-01 02:06:05"
"Gebze Garaj","bindi","38","","Gebze Garaj","Denizli","bay","nakit","","2026-05-01 02:06:23"
"Gebze Garaj","bindi","43","","Gebze Garaj","Manisa Otogar","bay","nakit","","2026-05-01 02:06:40"
"Mustafa Kemal paşa","indi","27","","Esenler Otogar","Mustafa Kemal paşa","bay","nakit","","2026-05-01 04:47:36"
"Susurluk","bindi","27","","Susurluk","Denizli","bay","nakit","","2026-05-01 04:47:53"
"Balıkesir Otogar","indi","31","","Esenler Otogar","Balıkesir Otogar","bay","nakit","","2026-05-01 05:22:21"
"Balıkesir Otogar","indi","45","","Alibeyköy","Balıkesir Otogar","bay","nakit","","2026-05-01 05:22:21"
"Balıkesir Otogar","indi","46","","Alibeyköy","Balıkesir Otogar","bayan","nakit","","2026-05-01 05:22:21"
"Akhisar Garaj","indi","7","","Esenler Otogar","Akhisar Garaj","bayan","nakit","","2026-05-01 07:06:37"
"Akhisar Garaj","indi","8","","Esenler Otogar","Akhisar Garaj","bayan","nakit","","2026-05-01 07:06:37"
"Akhisar Garaj","indi","28","","Esenler Otogar","Akhisar Garaj","bay","nakit","","2026-05-01 07:06:37"
"Akhisar Garaj","indi","41","","Esenler Otogar","Akhisar Garaj","bay","nakit","","2026-05-01 07:06:37"
"Akhisar Garaj","indi","42","","Esenler Otogar","Akhisar Garaj","bay","nakit","","2026-05-01 07:06:37"
"Manisa Otogar","bindi","9","","Manisa Otogar","Denizli","bay","nakit","","2026-05-01 07:19:38"
"Manisa Otogar","bindi","31","","Manisa Otogar","Denizli","bayan","nakit","","2026-05-01 07:20:19"
"Manisa Otogar","indi","3","","Esenler Otogar","Manisa Otogar","bay","nakit","","2026-05-01 07:12:25"
"Manisa Otogar","indi","5","","Esenler Otogar","Manisa Otogar","bay","nakit","","2026-05-01 07:12:25"
"Manisa Otogar","indi","9","","Esenler Otogar","Manisa Otogar","bay","nakit","","2026-05-01 07:12:25"
"Manisa Otogar","indi","15","","Esenler Otogar","Manisa Otogar","bay","nakit","","2026-05-01 07:12:25"
"Manisa Otogar","indi","16","","Esenler Otogar","Manisa Otogar","bay","nakit","","2026-05-01 07:12:25"
"Manisa Otogar","indi","19","","Esenler Otogar","Manisa Otogar","bayan","nakit","","2026-05-01 07:12:25"
"Manisa Otogar","indi","20","","Esenler Otogar","Manisa Otogar","bayan","nakit","","2026-05-01 07:12:25"
"Manisa Otogar","indi","43","","Gebze Garaj","Manisa Otogar","bay","nakit","","2026-05-01 07:12:25"
"Manisa Otogar","indi","50","","Esenler Otogar","Manisa Otogar","bay","nakit","","2026-05-01 07:12:25"
"Turgutlu Garaj","bindi","5","","Turgutlu Garaj","Denizli","bayan","nakit","","2026-05-01 07:48:00"
"Turgutlu Garaj","bindi","13","","Turgutlu Garaj","Denizli","bayan","nakit","","2026-05-01 07:48:14"
"Turgutlu Garaj","bindi","15","","Turgutlu Garaj","Denizli","bayan","nakit","","2026-05-01 07:48:20"
"Turgutlu Garaj","bindi","16","","Turgutlu Garaj","Denizli","bayan","nakit","","2026-05-01 07:48:26"
"Turgutlu Garaj","bindi","19","","Turgutlu Garaj","Denizli","bay","nakit","","2026-05-01 07:48:38"
"Turgutlu Garaj","bindi","20","","Turgutlu Garaj","Denizli","bay","nakit","","2026-05-01 07:48:48"
"Turgutlu Garaj","bindi","7","","Turgutlu Garaj","Alaşehir OTOGAR","bayan","nakit","","2026-05-01 07:49:15"
"Turgutlu Garaj","indi","13","","Alibeyköy","Turgutlu Garaj","bayan","nakit","","2026-05-01 07:45:04"
"Turgutlu Garaj","indi","25","","Esenler Otogar","Turgutlu Garaj","bay","nakit","","2026-05-01 07:45:04"
"Turgutlu Garaj","indi","29","","Alibeyköy","Turgutlu Garaj","bay","nakit","","2026-05-01 07:45:04"
"Turgutlu Garaj","indi","33","","Esenler Otogar","Turgutlu Garaj","bay","nakit","","2026-05-01 07:45:04"
"Turgutlu Garaj","indi","34","","Esenler Otogar","Turgutlu Garaj","bayan","nakit","","2026-05-01 07:45:04"
"Turgutlu Garaj","indi","37","","Gebze Garaj","Turgutlu Garaj","bay","nakit","","2026-05-01 07:45:04"
"Turgutlu Garaj","indi","39","","Esenler Otogar","Turgutlu Garaj","bay","nakit","","2026-05-01 07:45:04"
"Turgutlu Garaj","indi","49","","Esenler Otogar","Turgutlu Garaj","bayan","nakit","","2026-05-01 07:45:04"
"Salihli","bindi","3","","Salihli","Denizli","bay","nakit","","2026-05-01 08:18:42"
"Salihli","bindi","29","","Salihli","Denizli","bayan","nakit","","2026-05-01 08:19:12"
"Salihli","bindi","35","","Salihli","Denizli","bayan","nakit","","2026-05-01 08:19:25"
"Salihli","bindi","8","","Salihli","Denizli","bayan","nakit","","2026-05-01 08:50:31"
"Salihli","indi","23","","Alibeyköy","Salihli","bayan","nakit","","2026-05-01 08:17:07"
"Salihli","indi","24","","Esenler Otogar","Salihli","bayan","nakit","","2026-05-01 08:17:07"
"Salihli","indi","35","","Gebze Garaj","Salihli","bay","nakit","","2026-05-01 08:17:07"
"Kavaklıdere","indi","11","","Esenler Otogar","Kavaklıdere","bay","nakit","","2026-05-01 08:37:19"
"Kavaklıdere","indi","12","","Esenler Otogar","Kavaklıdere","bayan","nakit","","2026-05-01 08:37:21"
"Alaşehir STADYUM","indi","17","","Esenler Otogar","Alaşehir STADYUM","bayan","nakit","","2026-05-01 08:48:53"
"Alaşehir OTOGAR","indi","7","","Turgutlu Garaj","Alaşehir OTOGAR","bayan","nakit","","2026-05-01 08:50:34"
"Sarıgöl","indi","1","","Alibeyköy","Sarıgöl","bayan","nakit","","2026-05-01 09:34:34"
"Sarıgöl","indi","21","","Alibeyköy","Sarıgöl","bay","nakit","","2026-05-01 09:34:34"
"Sarayköy","indi","51","","Esenler Otogar","Sarayköy","bay","nakit","","2026-05-01 09:34:58"
"Denizli","indi","3","","Salihli","Denizli","bay","nakit","","2026-05-01 09:35:01"
"Denizli","indi","4","","Esenler Otogar","Denizli","bay","nakit","","2026-05-01 09:35:01"
"Denizli","indi","5","","Turgutlu Garaj","Denizli","bayan","nakit","","2026-05-01 09:35:01"
"Denizli","indi","8","","Salihli","Denizli","bayan","nakit","","2026-05-01 09:35:01"
"Denizli","indi","9","","Manisa Otogar","Denizli","bay","nakit","","2026-05-01 09:35:01"
"Denizli","indi","13","","Turgutlu Garaj","Denizli","bayan","nakit","","2026-05-01 09:35:01"
"Denizli","indi","15","","Turgutlu Garaj","Denizli","bayan","nakit","","2026-05-01 09:35:02"
"Denizli","indi","16","","Turgutlu Garaj","Denizli","bayan","nakit","","2026-05-01 09:35:02"
"Denizli","indi","19","","Turgutlu Garaj","Denizli","bay","nakit","","2026-05-01 09:35:02"
"Denizli","indi","20","","Turgutlu Garaj","Denizli","bay","nakit","","2026-05-01 09:35:02"
"Denizli","indi","27","","Susurluk","Denizli","bay","nakit","","2026-05-01 09:35:02"
"Denizli","indi","29","","Salihli","Denizli","bayan","nakit","","2026-05-01 09:35:02"
"Denizli","indi","31","","Manisa Otogar","Denizli","bayan","nakit","","2026-05-01 09:35:02"
"Denizli","indi","35","","Salihli","Denizli","bayan","nakit","","2026-05-01 09:35:02"
"Denizli","indi","38","","Gebze Garaj","Denizli","bay","nakit","","2026-05-01 09:35:02"
"Denizli","indi","52","","Esenler Otogar","Denizli","bay","nakit","","2026-05-01 09:35:02"
"Denizli","indi","53","","Esenler Otogar","Denizli","bayan","nakit","","2026-05-01 09:35:02"
"Denizli","indi","54","","Esenler Otogar","Denizli","bay","nakit","","2026-05-01 09:35:02"
