﻿"durak","islem","koltuk","kisi","nereden","nereye","cinsiyet","odeme","tutar","zaman"
"Denizli","bindi","3","","Denizli","","","nakit","","2026-04-29 21:31:09"
"Denizli","bindi","1","","Denizli","Gebze Garaj","bay","nakit","","2026-04-29 22:09:42"
"Denizli","bindi","4","","Denizli","Mustafa Kemal paşa","bay","nakit","","2026-04-29 22:09:50"
"Denizli","bindi","3","","Denizli","Sarıgöl","bayan","nakit","","2026-04-29 22:10:10"
"Denizli","bindi","5","","Denizli","Sarayköy","bay","nakit","","2026-04-29 22:10:19"
"Denizli","bindi","7","","Denizli","Dadağlı","bay","nakit","","2026-04-29 22:10:25"
"Denizli","bindi","8","","Denizli","Dindarlı","bayan","nakit","","2026-04-29 22:10:49"
"Gebze Garaj","indi","1","","Denizli","Gebze Garaj","bay","nakit","","2026-04-29 23:49:49"
"Sarıgöl","indi","3","","Denizli","Sarıgöl","bayan","nakit","","2026-04-29 23:49:49"
"Mustafa Kemal paşa","indi","4","","Denizli","Mustafa Kemal paşa","bay","nakit","","2026-04-29 23:49:49"
"Sarayköy","indi","5","","Denizli","Sarayköy","bay","nakit","","2026-04-29 23:49:49"
"Dadağlı","indi","7","","Denizli","Dadağlı","bay","nakit","","2026-04-29 23:49:49"
"Dindarlı","indi","8","","Denizli","Dindarlı","bayan","nakit","","2026-04-29 23:49:49"
